Title,Offer From,Seller,Condition,Price,URL
Продам iPhone X ( айфон 10 ),Частного лица,Влада,Б/у,10 500 грн.,https://www.olx.ua/obyavlenie/prodam-iphone-x-ayfon-10-IDKPhCa.html?sd=1#37c5b9989c;promoted
Продам iphone 10 (X) 64 gb,Частного лица,Хелая Гурам,Б/у,320 $,https://www.olx.ua/obyavlenie/prodam-iphone-10-x-64-gb-IDKKxon.html#37c5b9989c;promoted
"IPhone 7, 265 гб, б/у, состояние 8/10",Частного лица,sazonovapisarik,Б/у,5 500 грн.,https://www.olx.ua/obyavlenie/iphone-7-265-gb-b-u-sostoyanie-8-10-IDKckR4.html?sd=1#37c5b9989c
МАГАЗИН iPhone 5S 32gb iOS 10 Neverlock ГАРАНТИЯ/Trade-In/Выкуп/Обмен,Бизнес,Олег,Б/у,2 299 грн.,https://www.olx.ua/obyavlenie/magazin-iphone-5s-32gb-ios-10-neverlock-garantiya-trade-in-vykup-obmen-IDL2Rmx.html?sd=1#37c5b9989c
IPhone X 64gb айфон 10 64gb,Частного лица,Ирина,Б/у,10 000 грн.,https://www.olx.ua/obyavlenie/iphone-x-64gb-ayfon-10-64gb-IDKJtZa.html?sd=1#37c5b9989c
"БУ Apple iPhone Xs (10s) , 256Gb, Gold.",Бизнес,Кирилл,Б/у,450 $,https://www.olx.ua/obyavlenie/bu-apple-iphone-xs-10s-256gb-gold-IDKXTCc.html#37c5b9989c
Продам iphone 10 в идеальном состоянии и полном комплекте,Частного лица,Максим,Б/у,10 000 грн.,https://www.olx.ua/obyavlenie/prodam-iphone-10-v-idealnom-sostoyanii-i-polnom-komplekte-IDL2kqt.html?sd=1#37c5b9989c
Продам IPhone 6 s 16 gb Space Gray Идеальное состояние 10/10,Частного лица,Юрий,Б/у,3 000 грн.,https://www.olx.ua/obyavlenie/prodam-iphone-6-s-16-gb-space-gray-idealnoe-sostoyanie-10-10-IDL2hlb.html?sd=1#37c5b9989c
IPhone X 64gb 256 АКЦИЯ Space Gray Silver Айфон 10 SE 7 7+ 8+ XR XS,Бизнес,AppleDiscount,Новый,11 499 грн.,https://www.olx.ua/obyavlenie/iphone-x-64gb-256-aktsiya-space-gray-silver-ayfon-10-se-7-7-8-xr-xs-IDDM0qw.html#37c5b9989c
- NEW - Iphone X 256 gb - Space Gray- Оригинал - Айфон 10 - Новый,Бизнес,игорь,Новый,12 900 грн.,https://www.olx.ua/obyavlenie/new-iphone-x-256-gb-space-gray-original-ayfon-10-novyy-IDJEHie.html?sd=1#37c5b9989c
"БУ Apple iPhone Xs (10s) , 64Gb, Space Grey, Gold, гарантия, магазин.",Бизнес,Кирилл,Б/у,530 $,https://www.olx.ua/obyavlenie/bu-apple-iphone-xs-10s-64gb-space-grey-gold-garantiya-magazin-IDKwRXy.html#37c5b9989c
АКЦИЯ! Apple iPhone 11 PRo 128g Pro MAx _Топовый смартфон! Android 10!,Бизнес,Магазин МаксиМаркет,Новый,3 300 грн.,https://www.olx.ua/obyavlenie/aktsiya-apple-iphone-11-pro-128g-pro-max-topovyy-smartfon-android-10-IDL1xxw.html#37c5b9989c
IPhone 10 почти новый,Частного лица,дима,Б/у,6 500 грн.,https://www.olx.ua/obyavlenie/iphone-10-pochti-novyy-IDL1rzG.html?sd=1#37c5b9989c
Продам iphone x 10 64 no face id neverlock,Частного лица,MEOW,Б/у,8 000 грн.,https://www.olx.ua/obyavlenie/prodam-iphone-x-10-64-no-face-id-neverlock-IDKI8p8.html?sd=1#37c5b9989c
Iphone 10 на 256gb белый,Частного лица,Валерия,Б/у,420 $,https://www.olx.ua/obyavlenie/iphone-10-na-256gb-belyy-IDL17Tp.html#37c5b9989c
Iphone XS 10s Ten S GOLD 64gb. В отличном состоянии,Частного лица,Серёжа,Новый,13 440 грн.,https://www.olx.ua/obyavlenie/iphone-xs-10s-ten-s-gold-64gb-v-otlichnom-sostoyanii-IDJthMp.html#37c5b9989c
IPhone 6 64gb iOS 10 Neverlock от МАГАЗИНА,Бизнес,Олег,Б/у,2 999 грн.,https://www.olx.ua/obyavlenie/iphone-6-64gb-ios-10-neverlock-ot-magazina-IDGU15Z.html?sd=1#37c5b9989c
IPhone X 256 gb black | айфон 10 256 гб,Частного лица,enjoy,Б/у,12 000 грн.,https://www.olx.ua/obyavlenie/iphone-x-256-gb-black-ayfon-10-256-gb-IDKZim3.html?sd=1#37c5b9989c
Iphone X 10,Частного лица,Виктория,Б/у,11 000 грн.,https://www.olx.ua/obyavlenie/iphone-x-10-IDKYExB.html?sd=1#37c5b9989c
Iphone X айфон 10 64gb newerlock,Частного лица,Жека,Б/у,9 500 грн.,https://www.olx.ua/obyavlenie/iphone-x-ayfon-10-64gb-newerlock-IDKYiiX.html?sd=1#37c5b9989c
